Order,OSR,Levels,Hinf,Form,SNR
5,128,2,1.5,CIFB,85.7303901238624
5,128,2,1.5,CIFF,25.78193380840903
5,128,2,1.5,CRFBD,85.81660979994211
5,128,2,1.5,CRFFD,25.729982487488606
5,128,2,2.0,CRFB,24.477570370095517
5,128,2,2.0,CRFF,25.726495605857146
5,128,2,2.0,CIFB,24.14505724528138
5,128,2,2.0,CIFF,25.780760676589665
5,128,2,2.0,CRFBD,24.49183711839445
5,128,2,2.0,CRFFD,25.784911933833765
5,128,3,1.0,CRFF,0.780558585663471
5,128,3,1.0,CIFF,0.7891270489609343
5,128,3,1.0,CRFFD,0.7958143941130751
5,128,3,1.5,CRFB,85.68009978303769
5,128,3,1.5,CRFF,25.79650972868091
5,128,3,1.5,CIFB,85.7303901238624
5,128,3,1.5,CIFF,25.78193380840903
5,128,3,1.5,CRFBD,85.81660979994211
5,128,3,1.5,CRFFD,25.729982487488606
5,128,3,2.0,CRFB,24.477570370095517
5,128,3,2.0,CRFF,25.726495605857146
5,128,3,2.0,CIFB,24.14505724528138
5,128,3,2.0,CIFF,25.780760676589665
5,128,3,2.0,CRFBD,24.49183711839445
5,128,3,2.0,CRFFD,25.784911933833765
5,256,2,1.0,CRFF,2.2126145417700323
5,256,2,1.0,CIFF,2.212614548497886
5,256,2,1.0,CRFFD,2.189724580205137
5,256,2,1.5,CRFB,86.58049198143735
5,256,2,1.5,CRFF,20.035828422548356
5,256,2,1.5,CIFB,85.90359504409109
5,256,2,1.5,CIFF,20.020433292842
5,256,2,1.5,CRFBD,86.54997271494692
5,256,2,1.5,CRFFD,20.04405841690893
5,256,2,2.0,CRFB,20.520715513450337
5,256,2,2.0,CRFF,20.103381928459182
5,256,2,2.0,CIFB,20.640366844843562
5,256,2,2.0,CIFF,20.03410955586197
5,256,2,2.0,CRFBD,20.619633904992874
5,256,2,2.0,CRFFD,20.035822706754054
5,256,3,1.0,CRFF,2.2126145417700323
5,256,3,1.0,CIFF,2.212614548497886
5,256,3,1.0,CRFFD,2.189724580205137
5,256,3,1.5,CRFB,86.58049198143735
5,256,3,1.5,CRFF,20.035828422548356
5,256,3,1.5,CIFB,85.90359504409109
5,256,3,1.5,CIFF,20.020433292842
5,256,3,1.5,CRFBD,86.54997271494692
5,256,3,1.5,CRFFD,20.04405841690893
5,256,3,2.0,CRFB,20.520715513450337
5,256,3,2.0,CRFF,20.103381928459182
5,256,3,2.0,CIFB,20.640366844843562
5,256,3,2.0,CIFF,20.03410955586197
5,256,3,2.0,CRFBD,20.619633904992874
5,256,3,2.0,CRFFD,20.035822706754054
